period,product,price,log_price,normalized_price
2019-12-01,WTI Crude Oil,59.88,4.092342559551428,0.6920213171093178
2019-11-01,UK Brent Crude Oil,63.21,4.146462516484207,0.7127369096722528
2019-11-01,WTI Crude Oil,57.03,4.043577445168448,0.6733554071918825
2019-10-01,UK Brent Crude Oil,59.71,4.089499510558901,0.6909330781693127
2019-10-01,WTI Crude Oil,53.96,3.988243031339555,0.6521749547940371
2019-09-01,UK Brent Crude Oil,62.83,4.140432666414855,0.7104288531930611
2019-09-01,WTI Crude Oil,56.95,4.0421736898931915,0.6728180892783372
2019-08-01,WTI Crude Oil,54.81,4.003872659058025,0.6581575353073279
2019-08-01,UK Brent Crude Oil,59.04,4.078215180292217,0.6866137549215028
2019-07-01,UK Brent Crude Oil,63.92,4.157632301458019,0.7170123882137542
2019-07-01,WTI Crude Oil,57.35,4.04917284357538,0.6754971678324031
2019-06-01,WTI Crude Oil,54.66,4.001132180499922,0.657108557435678
2019-06-01,UK Brent Crude Oil,64.22,4.162314688661368,0.7188046739254181
2019-05-01,UK Brent Crude Oil,71.32,4.267176792994939,0.7589429288646147
2019-05-01,WTI Crude Oil,60.83,4.108083088332614,0.6980463474204321
2019-04-01,UK Brent Crude Oil,71.23,4.265914077990263,0.7584595971873099
2019-04-01,WTI Crude Oil,63.86,4.156693187286636,0.7166529218052976
2019-03-01,UK Brent Crude Oil,66.14,4.191773707553646,0.7300807551949251
2019-03-01,WTI Crude Oil,58.15,4.063025878964673,0.6807997189272047
2019-02-01,WTI Crude Oil,54.95,4.006423680849631,0.6591339944741321
2019-02-01,UK Brent Crude Oil,63.96,4.158257887965753,0.7172518450784962
2019-01-01,WTI Crude Oil,51.38,3.9392489916817377,0.633421418740336
2019-01-01,UK Brent Crude Oil,59.41,4.08446256236765,0.6890050765151322
2018-12-01,WTI Crude Oil,49.52,3.9023766283763406,0.6193077183910202
2018-12-01,UK Brent Crude Oil,57.36,4.0493471962913645,0.6755639051328608
2018-11-01,WTI Crude Oil,56.96,4.04234926710372,0.6728852952807582
2018-11-01,UK Brent Crude Oil,64.75,4.1705337005796475,0.7219506797949434
2018-10-01,UK Brent Crude Oil,81.03,4.394819456472634,0.80780093910908
2018-10-01,WTI Crude Oil,70.75,4.259152536523347,0.7558714698852134
2018-09-01,WTI Crude Oil,70.23,4.251775570170929,0.7530477753006635
2018-09-01,UK Brent Crude Oil,78.89,4.368054477106998,0.7975560601602194
